team_id,team_name,team_crest_pic,team_data_url,league_id,league_name,league_nation,league_logo_pic
0,AFC Bournemouth,https://tmssl.akamaized.net//images/wappen/tiny/989.png?lm=1457991811,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
1,Arsenal FC,https://tmssl.akamaized.net//images/wappen/tiny/11.png?lm=1489787850,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
2,Aston Villa,https://tmssl.akamaized.net//images/wappen/tiny/405.png?lm=1717155982,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
3,Brentford FC,https://tmssl.akamaized.net//images/wappen/tiny/1148.png?lm=1625150543,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
4,Brighton & Hove Albion,https://tmssl.akamaized.net//images/wappen/tiny/1237.png?lm=1492718902,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
5,Chelsea FC,https://tmssl.akamaized.net//images/wappen/tiny/631.png?lm=1782931342,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
6,Coventry City,https://tmssl.akamaized.net//images/wappen/tiny/990.png?lm=1684518179,https://www.transfermarkt.com/coventry-city/startseite/verein/990/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
7,Crystal Palace,https://tmssl.akamaized.net//images/wappen/tiny/873.png?lm=1457723287,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
8,Everton FC,https://tmssl.akamaized.net//images/wappen/tiny/29.png?lm=1445949846,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
9,Fulham FC,https://tmssl.akamaized.net//images/wappen/tiny/931.png?lm=1556831687,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
